Genre,Average
Food Trucks,4.17
Bars,3.71
Chinese,3.51
Dessert,3.86
Italian,3.78
Cafes,3.93
Mediterranean,4.02
Japanese,3.82
French,4.02
Pizza,3.73
Non-American,3.78
American,3.67
Non-White,3.77
Sandwiches,3.77
Latin American,3.68
Thai,3.9
Brunch,3.69
Asian,3.76
Korean,3.88
European,3.85
